Year,Name,Position,College,Conference,Conference Rank,Round,Pick,AV,Games,Seasons,Height,Weight,40 Yard,Bench,Broad Jump,Shuttle,3 Cone,Vertical,Pass Att,Pass Completions,Pass Yds,Pass TD,Pass Int,Passer Rating,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo Tackles,Ast Tackles,Total Tackles,Tackles for Loss,Sacks,Int,Int Return Yards,Int TD,Pass Deflection,Fumble Recovery,Fumble Return Yards,Fumble TD,Forced Fumbles,PRs,PR Yds,PR TD,KRs,KR Yds,KR TD,XPA,XP%,FGA,FG%,Punts,Punt Avg
2013,Stepfan Taylor,RB,Stanford,Pac-12,5,5,140,0.75,53,4,69,214,4.76,17,110,4.5,7.13,30,0,0,0,0,0,0,843,4300,40,97,778,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0
2018,Armani Watts,S,Texas A&M,SEC,1,4,124,0.75,45,4,71,205,4.68,13,120,4.37,7.25,35,0,0,0,0,0,0,0,0,0,0,0,0,213,111,324,24,1.5,10,61,0,17,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2011,Chris White,ILB,Mississippi State,SEC,1,6,169,0.75,25,2,75,240,4.65,17,115,4.25,6.95,34,0,0,0,0,0,0,0,0,0,0,0,0,98,87,185,19.5,6.5,2,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Blake Bell,TE,Oklahoma,Big 12,3,4,117,0.7142857143,40,4,78,252,4.8,14,116,4.32,6.85,33,0,0,0,0,0,0,181,631,24,16,214,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Maurice Canady,CB,Virginia,ACC,4,6,209,0.7142857143,43,4,73,193,4.49,16,124,4.09,7.03,38,0,0,0,0,0,0,0,0,0,0,0,0,101,45,146,6.5,2,5,108,1,26,0,0,0,2,0,0,0,5,126,1,0,0,0,0,0,0
2015,Mark Nzeocha,OLB,Small,MWC,8,7,236,0.7142857143,21,3,74,232,4.56,24,107,4.55,7.32,32,0,0,0,0,0,0,0,0,0,0,0,0,85,52,137,9,3,1,0,0,7,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2011,Jordan Todman,RB,Connecticut,Big East,12,6,183,0.7142857143,37,3,69,203,4.4,25,126,4.18,7.24,38,0,0,0,0,0,0,616,3179,31,42,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,924,1,0,0,0,0,0,0
2011,Josh Thomas,CB,Small,MAC,10,5,143,0.7,47,4,70,191,4.46,13,126,4.15,6.99,38.5,0,0,0,0,0,0,0,0,0,0,0,0,128,77,205,9.5,2,2,22,0,15,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2011,Chris Carter,OLB,Fresno State,WAC,13,5,162,0.6923076923,49,4,73,248,4.58,27,114,4.34,6.88,36,0,0,0,0,0,0,0,0,0,0,0,0,116,89,205,38,19.5,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2016,Jerell Adams,TE,South Carolina,SEC,1,6,184,0.6666666667,37,4,77,247,4.64,24,117,4.31,7.05,32.5,0,0,0,0,0,0,0,0,0,66,977,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Seyi Ajirotutu,WR,Fresno State,WAC,13,0,0,0.6666666667,46,4,75,204,4.6,14,115,4.39,7.22,36,0,0,0,0,0,0,2,3,1,129,1997,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Marcell Ateman,WR,Small,Big 12,3,7,228,0.6666666667,43,4,76,216,4.62,13,121,4.25,7.07,34,0,0,0,0,0,0,1,1,0,146,2466,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,Sam Barrington,ILB,South Florida,Big East,12,7,232,0.6666666667,38,3,73,246,4.91,22,117,4.16,6.95,32.5,0,0,0,0,0,0,0,0,0,0,0,0,151,107,258,21.5,6.5,1,30,1,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2017,Caleb Brantley,DT,Florida,SEC,1,6,185,0.6666666667,31,3,75,307,5.14,21,105,4.62,7.66,27,0,0,0,0,0,0,0,0,0,0,0,0,33,47,80,20.5,5.5,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
