Year,Name,Position,College,Conference,Conference Rank,Round,Pick,AV,Games,Seasons,Height,Weight,40 Yard,Bench,Broad Jump,Shuttle,3 Cone,Vertical,Pass Att,Pass Completions,Pass Yds,Pass TD,Pass Int,Passer Rating,Rush Att,Rush Yds,Rush TD,Rec,Rec Yds,Rec TD,Solo Tackles,Ast Tackles,Total Tackles,Tackles for Loss,Sacks,Int,Int Return Yards,Int TD,Pass Deflection,Fumble Recovery,Fumble Return Yards,Fumble TD,Forced Fumbles,PRs,PR Yds,PR TD,KRs,KR Yds,KR TD,XPA,XP%,FGA,FG%,Punts,Punt Avg
2021,Micah Parsons,LB,Small,Big Ten,2,1,12,18,26,2,75,246,4.39,19,126,4.4,6.89,34,0,0,0,0,0,0,0,0,0,0,0,0,99,92,191,18,6.5,0,0,0,5,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2014,Aaron Donald,DT,Pittsburgh,ACC,4,1,13,16.25,39,3,73,285,4.68,35,116,4.39,7.11,32,0,0,0,0,0,0,0,0,0,0,0,0,115,66,181,66,29.5,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
2012,Russell Wilson,QB,Wisconsin,Big Ten,2,3,75,15.8,50,4,71,204,4.53,11,118,4.09,6.97,34,309,225,3175,33,4,191.8,79,338,6,3,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Lamar Jackson,QB,Louisville,ACC,4,1,32,15.5,38,3,74,216,5,16,115,4.35,7.18,35,1086,619,9043,69,27,142.9,655,4132,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Justin Herbert,QB,Oregon,Pac-12,5,1,6,15.5,43,4,78,236,4.68,21,123,4.46,7.06,35.5,1293,827,10541,95,23,153.1,231,560,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Kyler Murray,QB,Oklahoma,Big 12,3,1,1,15.33333333,29,3,70,207,4.31,15,118,4.13,6.88,32,398,278,4720,45,7,203.3,154,1143,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Patrick Mahomes,QB,Texas Tech,Big 12,3,1,10,15,32,3,74,225,4.8,19,114,4.08,6.88,30,1349,857,11252,93,29,152,308,845,22,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Mac Jones,QB,Alabama,SEC,1,1,15,14,30,3,74,217,4.72,14,116,4.39,7.04,32,556,413,6126,56,7,197.6,54,42,2,2,-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Rashawn Slater,OL,Small,Big Ten,2,1,13,14,41,4,76,304,4.91,33,112,4.45,7.48,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Jonathan Taylor,RB,Wisconsin,Big Ten,2,2,41,14,41,3,70,226,4.39,17,123,4.24,7.01,36,0,0,0,0,0,0,926,6174,50,42,407,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Tristan Wirfs,OL,Iowa,Big Ten,2,1,13,14,27,4,77,320,4.85,24,121,4.68,7.65,36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Deshaun Watson,QB,Clemson,ACC,4,1,12,13.75,38,3,74,221,4.66,17,119,4.31,6.95,32.5,1207,814,10168,90,32,157.5,435,1934,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Josh Allen,QB,Small,MWC,8,1,7,13.5,27,3,77,237,4.75,26,119,4.4,6.9,33.5,649,365,5066,44,21,137.7,237,767,12,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Luke Kuechly,ILB,Boston College,ACC,4,1,9,13.375,38,3,75,242,4.58,27,123,4.12,6.92,38,0,0,0,0,0,0,0,0,0,0,0,0,299,233,532,35.5,2.5,7,130,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2012,Andrew Luck,QB,Stanford,Pac-12,5,1,1,13.33333333,38,3,76,234,4.59,19,124,4.28,6.8,36,1064,713,9430,82,22,162.8,163,957,7,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Quenton Nelson,OG,Notre Dame,Ind,13,1,6,13.25,51,4,77,325,5.34,35,105,4.62,7.65,26.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,T.J. Watt,OLB,Wisconsin,Big Ten,2,1,30,13,22,2,76,252,4.69,21,128,4.13,6.79,37,0,0,0,0,0,0,0,0,0,0,0,0,41,29,70,17,11.5,1,17,1,6,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2021,Ja'Marr Chase,WR,LSU,SEC,1,1,5,13,24,2,72,201,4.34,15,132,3.99,6.96,41,0,0,0,0,0,0,1,5,0,107,2093,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Justin Jefferson,WR,LSU,SEC,1,1,22,13,30,3,73,202,4.43,18,126,4.09,6.88,37.5,0,0,0,0,0,0,6,30,0,165,2415,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
2016,Dak Prescott,QB,Mississippi State,SEC,1,4,135,12.83333333,49,4,74,226,4.79,7,116,4.32,7.11,32.5,1169,734,9376,70,23,146,536,2521,41,4,88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Alvin Kamara,RB,Tennessee,SEC,1,3,67,12.8,24,2,70,214,4.56,15,131,4.5,7.26,39.5,0,0,0,0,0,0,210,1294,16,74,683,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,26,284,1,0,0,0,0,0,0
2011,Cam Newton,QB,Auburn,SEC,1,1,1,12.72727273,20,3,77,248,4.56,17,126,4.18,6.92,35,280,185,2854,30,7,182,264,1473,20,2,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Zack Martin,OG,Notre Dame,Ind,13,1,16,12.25,45,4,76,308,5.22,29,106,4.59,7.65,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Michael Thomas,WR,Ohio State,Big Ten,2,2,47,12.2,39,3,75,212,4.57,18,126,4.13,6.8,35,0,0,0,0,0,0,0,0,0,113,1602,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Ryan Ramczyk,OT,Wisconsin,ACC,4,1,32,11.8,31,4,78,310,5.44,25,103,4.46,7.46,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Khalil Mack,OLB,Small,MAC,10,1,5,11.75,37,3,75,251,4.65,23,128,4.18,7.08,40,0,0,0,0,0,0,0,0,0,0,0,0,185,142,327,74.5,28.5,4,148,2,21,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2009,Matthew Stafford,QB,Georgia,SEC,1,1,1,11.38461538,39,3,74,225,4.81,18,107,4.47,7.06,30.5,987,564,7731,51,33,133.3,141,213,6,1,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,J.J. Watt,DE,Wisconsin,Big Ten,2,1,11,11.36363636,40,3,77,290,4.81,34,120,4.21,6.88,37,0,0,0,0,0,0,0,0,0,0,0,0,74,32,106,36.5,11.5,1,15,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Baker Mayfield,QB,Oklahoma,Big 12,3,1,1,11.25,48,4,73,215,4.84,2,111,4.28,7,29,1157,808,12292,119,21,189.4,316,893,18,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Ryan Tannehill,QB,Texas A&M,Big 12,3,1,8,11.22222222,50,4,76,221,4.65,13,120,4.62,7.07,30.5,774,484,5450,42,21,134.2,115,369,5,112,1596,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Julio Jones,WR,Alabama,SEC,1,1,6,11.18181818,40,3,75,220,4.34,17,135,4.25,6.66,38.5,0,0,0,0,0,0,10,139,2,179,2653,15,0,0,0,0,0,0,0,0,0,0,0,0,0,7,162,0,12,130,0,0,0,0,0,0,0
2013,Travis Frederick,C,Wisconsin,ACC,4,1,31,11.16667,34,3,76,312,5.58,21,97,4.76,7.81,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Derek Carr,QB,Fresno State,MWC,8,2,36,11,44,4,74,214,4.69,14,110,4.2,6.83,34.5,1630,1087,12843,113,24,152.8,164,190,5,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Ezekiel Elliott,RB,Ohio State,Big Ten,2,1,4,11,35,3,72,225,4.47,16,118,4.43,7.12,32.5,0,0,0,0,0,0,592,3961,43,58,449,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,2,13,0,0,0,0,0,0,0
2017,Myles Garrett,DE,Texas A&M,SEC,1,1,1,11,34,3,76,272,4.64,33,128,4.18,6.88,41,0,0,0,0,0,0,0,0,0,0,0,0,81,60,141,47,31,1,4,0,5,1,0,0,7,0,0,0,1,3,0,0,0,0,0,0,0
2011,Von Miller,OLB,Texas A&M,Big 12,3,1,2,11,47,4,75,246,4.42,21,126,4.06,6.7,37,0,0,0,0,0,0,0,0,0,0,0,0,104,77,181,50.5,33,1,3,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2020,Joe Burrow,QB,LSU,SEC,1,1,1,11,38,4,75,221,4.68,19,130,4.33,7.1,39.5,906,621,8565,76,11,173.2,243,767,12,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Devin White,LB,LSU,SEC,1,1,5,11,34,3,72,237,4.42,22,118,4.17,7.07,39.5,0,0,0,0,0,0,0,0,0,0,0,0,114,172,286,28.5,8.5,1,3,0,9,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
2011,Patrick Peterson,CB,LSU,SEC,1,1,5,10.81818182,39,3,72,219,4.31,15,126,4.07,6.58,38,0,0,0,0,0,0,0,0,0,0,0,0,104,31,135,3,0,7,171,1,0,0,0,1,0,27,424,2,32,932,0,0,0,0,0,0,0
2018,Fred Warner,OLB,Small,Ind,13,3,70,10.75,48,4,75,236,4.64,21,119,4.28,6.9,38.5,0,0,0,0,0,0,0,0,0,0,0,0,158,104,262,32.5,6.5,7,134,2,13,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2012,Fletcher Cox,DT,Mississippi State,SEC,1,1,12,10.7,36,3,76,298,4.77,30,103,4.53,7.07,26,0,0,0,0,0,0,0,0,0,0,0,0,53,61,114,24.5,7.5,0,0,0,0,1,52,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2010,Ndamukong Suh,DT,Nebraska,Big 12,3,1,2,10.58333333,54,5,76,307,5.03,32,105,4.44,7.21,35.5,0,0,0,0,0,0,0,0,0,0,0,0,125,90,215,49.5,24,4,79,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,Cameron Jordan,DE,California,Pac-10,9,1,24,10.54545455,50,4,76,287,4.74,25,117,4.37,7.07,31,0,0,0,0,0,0,0,0,0,0,0,0,88,87,175,34,16.5,1,3,0,5,1,34,2,3,0,0,0,2,4,0,0,0,0,0,0,0
2018,Tremaine Edmunds,LB,Virginia Tech,ACC,4,1,16,10.5,32,3,77,253,4.54,19,117,4.32,6.82,27,0,0,0,0,0,0,0,0,0,0,0,0,112,101,213,33,10,1,9,0,5,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2016,Jared Goff,QB,California,Pac-12,5,1,1,10.5,37,3,76,215,4.82,8,110,4.47,7.17,27,1568,977,12195,96,30,144,170,-114,1,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Jalen Hurts,QB,Oklahoma,Big 12,3,2,53,10.5,56,4,73,222,4.59,12,125,4.57,7.77,35,340,237,3851,32,8,191.2,233,1298,20,2,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,C.J. Mosley,ILB,Alabama,SEC,1,1,17,10.42857143,51,4,74,234,4.65,17,118,4.4,7.3,35,0,0,0,0,0,0,0,0,0,0,0,0,175,142,317,23,6.5,5,93,3,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,Richard Sherman,CB,Stanford,Pac-10,9,5,154,10.36363636,54,5,75,195,4.54,16,125,4.33,6.82,38,0,0,0,0,0,0,0,0,0,0,0,0,80,33,113,1,0,6,82,1,0,0,0,0,0,1,36,0,23,215,2,0,0,0,0,0,0
2019,A.J. Brown,WR,Mississippi,SEC,1,2,51,10.33333333,34,3,72,226,4.49,19,120,4.27,6.96,36.5,0,0,0,0,0,0,0,0,0,189,2984,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,47,0,0,0,0,0,0,0
2015,Stefon Diggs,WR,Maryland,Big Ten,2,5,146,10.28571429,28,3,72,195,4.46,10,115,4.32,7.03,35,0,0,0,0,0,0,32,187,0,150,2227,14,0,0,0,0,0,0,0,0,0,0,0,0,0,24,220,0,57,1472,2,0,0,0,0,0,0
2018,Roquan Smith,OLB,Georgia,SEC,1,1,8,10.25,38,3,73,236,4.51,37,118,4.22,7.25,35.5,0,0,0,0,0,0,0,0,0,0,0,0,146,106,252,20.5,6.5,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2016,Jalen Ramsey,CB,Florida State,ACC,4,1,5,10,41,3,73,209,4.41,14,135,4.18,6.94,41.5,0,0,0,0,0,0,0,0,0,0,0,0,122,59,181,15.5,5,3,58,0,22,2,36,1,4,1,6,0,2,54,0,0,0,0,0,0,0
2019,D.K. Metcalf,WR,Mississippi,SEC,1,2,64,10,21,3,75,228,4.33,27,134,4.5,7.38,40.5,0,0,0,0,0,0,0,0,0,67,1228,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Gregory Rousseau,DL,Small,ACC,4,1,30,10,24,3,78,266,4.68,21,115,4.2,7.06,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Todd Gurley,RB,Georgia,SEC,1,1,10,9.833333333,30,3,73,222,4.52,17,119,4.09,6.94,33.5,0,0,0,0,0,0,510,3285,36,65,615,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,422,2,0,0,0,0,0,0
2011,Andy Dalton,QB,TCU,MWC,8,2,35,9.818181818,50,4,74,215,4.83,15,106,4.27,6.93,29.5,1317,812,10314,71,30,140.7,413,1611,22,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Earl Thomas,CB,Texas,Big 12,3,1,14,9.8,27,2,70,208,4.43,21,113,4.66,6.91,34.5,0,0,0,0,0,0,0,0,0,0,0,0,97,38,135,7.5,0,10,149,2,0,0,0,0,0,0,0,0,4,58,0,0,0,0,0,0,0
2013,Travis Kelce,TE,Cincinnati,Big East,12,3,63,9.777777778,35,3,77,255,4.63,22,116,4.34,7.09,34.5,0,0,0,0,0,0,8,47,2,59,875,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0
2011,DeMarco Murray,RB,Oklahoma,Big 12,3,3,71,9.714285714,50,4,72,213,4.37,21,124,4.18,7.28,34.5,0,0,0,0,0,0,759,3685,50,157,1571,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,1462,2,0,0,0,0,0,0
2010,Geno Atkins,DT,Georgia,SEC,1,4,120,9.636363636,50,4,73,293,4.75,34,117,4.43,7.33,33,0,0,0,0,0,0,0,0,0,0,0,0,76,44,120,33.5,11,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2011,Cameron Heyward,DE,Ohio State,Big Ten,2,1,31,9.636363636,52,4,77,294,4.95,30,117,4.46,7.33,30,0,0,0,0,0,0,0,0,0,0,0,0,80,83,163,37.5,15.5,1,80,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2014,Davante Adams,WR,Fresno State,MWC,8,2,53,9.625,26,2,73,212,4.56,14,123,4.3,6.82,39.5,0,0,0,0,0,0,0,0,0,233,3031,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0,0,0,0
2012,Kirk Cousins,QB,Michigan State,Big Ten,2,4,102,9.6,45,4,75,214,4.84,13,109,4.5,7.05,28.5,1128,723,9131,66,30,146.1,111,-127,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Christian McCaffrey,RB,Stanford,Pac-12,5,1,8,9.6,37,3,71,202,4.48,10,121,4.22,6.57,37.5,0,0,0,0,0,0,632,3922,21,99,1206,10,0,0,0,0,0,0,0,0,0,0,0,0,0,34,380,1,56,1479,1,0,0,0,0,0,0
2011,Jason Kelce,C,Cincinnati,American,6,6,191,9.545454545,39,3,75,280,4.89,29,110,4.14,7.22,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Lavonte David,OLB,Nebraska,Big Ten,2,2,58,9.5,27,2,73,233,4.57,19,119,4.22,7.28,36.5,0,0,0,0,0,0,0,0,0,0,0,0,150,135,285,24.5,11.5,2,-2,0,10,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marcus Peters,CB,Washington,Pac-12,5,1,18,9.5,34,3,72,197,4.53,17,121,4.08,7.08,37.5,0,0,0,0,0,0,0,0,0,0,0,0,95,34,129,9.5,1,11,72,1,16,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2020,Trevon Diggs,CB,Alabama,SEC,1,2,51,9.5,44,4,73,205,4.58,16,128,4.19,7,39.5,0,0,0,0,0,0,0,0,0,0,0,0,43,25,68,0.5,0,4,79,1,17,2,0,1,2,15,357,0,31,284,0,0,0,0,0,0,0
2020,CeeDee Lamb,WR,Oklahoma,Big 12,3,1,17,9.5,40,3,74,198,4.5,11,124,4.21,6.76,34.5,0,0,0,0,0,0,9,20,1,173,3292,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,475,0,0,0,0,0,0,0
2013,DeAndre Hopkins,WR,Clemson,ACC,4,1,27,9.444444444,39,3,73,214,4.57,15,115,4.5,6.95,36,0,0,0,0,0,0,0,0,0,206,3020,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,32,0,12,82,0,0,0,0,0,0,0
2009,Louis Vasquez,OG,Texas Tech,Big 12,3,3,78,9.428571429,37,3,77,333,5.22,39,103,4.47,7.44,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Dalvin Cook,RB,Florida State,ACC,4,2,41,9.4,38,3,70,210,4.49,22,116,4.53,7.27,30.5,0,0,0,0,0,0,687,4464,46,79,935,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Maurkice Pouncey,C,Florida,SEC,1,1,18,9.4,25,2,76,304,5.25,23,95,4.92,7.74,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Antonio Brown,WR,Small,MAC,10,6,195,9.333333333,41,3,70,186,4.56,13,105,4.18,6.98,33.5,0,0,0,0,0,0,72,531,4,305,3199,22,0,0,0,0,0,0,0,0,0,0,0,0,0,53,822,3,113,2612,2,0,0,0,0,0,0
2018,Minkah Fitzpatrick,DB,Alabama,SEC,1,1,11,9.333333333,42,3,73,201,4.46,14,121,4.24,6.28,33,0,0,0,0,0,0,0,0,0,0,0,0,110,61,171,16.5,5,9,274,4,24,0,0,0,2,1,39,0,1,16,1,0,0,0,0,0,0
2011,A.J. Green,WR,Georgia,SEC,1,1,4,9.3,32,3,76,211,4.48,18,126,4.21,6.91,34.5,0,0,0,0,0,0,7,105,0,166,2619,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,0,0,0
2018,Nick Chubb,RB,Georgia,SEC,1,2,35,9.25,47,4,71,227,4.52,29,128,4.25,7.09,38.5,0,0,0,0,0,0,758,4769,44,31,361,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Mike Evans,WR,Texas A&M,SEC,1,1,7,9.25,26,2,77,231,4.53,12,123,4.26,7.08,37,0,0,0,0,0,0,0,0,0,151,2499,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Demario Davis,OLB,Small,Sun Belt,7,3,77,9.2,48,4,74,235,4.49,32,124,4.28,7.19,38.5,0,0,0,0,0,0,0,0,0,0,0,0,129,100,229,22.5,7,4,112,1,1,1,53,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Telvin Smith,OLB,Florida State,ACC,4,5,144,9.2,40,3,75,218,4.52,16,119,4.2,6.78,31.5,0,0,0,0,0,0,0,0,0,0,0,0,139,75,214,29,7,4,160,2,9,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2011,Tyron Smith,OT,Southern California,Pac-10,9,1,9,9.181818182,39,3,77,307,4.93,29,112,4.37,7.1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Chris Jones,DT,Mississippi State,SEC,1,2,37,9.166666667,38,3,78,310,5.03,26,106,4.62,7.44,24.5,0,0,0,0,0,0,0,0,0,0,0,0,42,60,102,18,8.5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Jameis Winston,QB,Florida State,ACC,4,1,1,9.142857143,27,2,76,231,4.97,12,103,4.36,7.16,28.5,851,562,7964,65,28,163.3,145,284,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Brandin Cooks,WR,Oregon State,Pac-12,5,1,20,9.125,38,3,70,189,4.33,16,120,3.81,6.76,36,0,0,0,0,0,0,61,340,2,226,3272,24,0,0,0,0,0,0,0,0,0,0,0,0,0,8,179,0,12,72,0,0,0,0,0,0,0
2010,Daryl Washington,OLB,TCU,MWC,8,2,47,9,50,4,74,230,4.58,17,114,4.27,6.99,31,0,0,0,0,0,0,0,0,0,0,0,0,148,72,220,20.5,5.5,4,45,1,0,0,0,0,0,0,0,0,3,25,0,0,0,0,0,0,0
2017,Jamal Adams,SS,LSU,SEC,1,1,6,9,36,3,72,214,4.56,18,120,4.13,6.96,31.5,0,0,0,0,0,0,0,0,0,0,0,0,128,81,209,18,2,5,30,0,14,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2017,Budda Baker,FS,Washington,Pac-12,5,2,36,9,39,3,70,195,4.45,15,115,4.08,6.76,32.5,0,0,0,0,0,0,0,0,0,0,0,0,138,61,199,13,4,5,62,0,18,0,0,0,3,0,0,0,1,40,0,0,0,0,0,0,0
2012,David DeCastro,OG,Stanford,Pac-12,5,1,24,9,34,3,77,316,5.32,34,98,4.56,7.3,29.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Joe Thuney,OT,North Carolina State,ACC,4,3,78,9,51,4,77,304,4.95,28,110,4.54,7.47,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,Creed Humphrey,OL,Oklahoma,Big 12,3,2,63,9,10,1,76,302,5.11,29,112,4.49,7.5,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Patrick Queen,LB,LSU,SEC,1,1,28,9,29,3,72,229,4.5,18,125,4.38,7.21,35,0,0,0,0,0,0,0,0,0,0,0,0,59,72,131,17.5,4,1,16,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,Deebo Samuel,WR,South Carolina,SEC,1,2,36,9,30,4,71,214,4.48,15,122,4.14,7.03,39,0,0,0,0,0,0,25,154,7,148,2076,16,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,42,1219,4,0,0,0,0,0,0
2020,Chase Young,DL,Ohio State,Big Ten,2,1,2,9,37,4,77,264,4.9,24,110,4.21,7.01,32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014,Jake Matthews,OT,Texas A&M,SEC,1,1,6,8.875,39,3,77,308,5.07,24,105,4.47,7.34,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,Jack Conklin,OT,Michigan State,Big Ten,2,1,8,8.833333333,48,4,78,308,5,25,103,4.57,7.63,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Trent Williams,OT,Oklahoma,Big 12,3,1,4,8.818181818,35,3,77,315,4.81,23,113,4.63,7.64,34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010,Rob Gronkowski,TE,Arizona,Pac-10,9,2,42,8.818,22,2,78,264,4.68,23,120,4.4,7.17,32,0,0,0,0,0,0,0,0,0,75,1197,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Aaron Jones,RB,Small,CUSA,11,5,182,8.8,35,4,69,208,4.56,16,127,4.2,6.82,37.5,0,0,0,0,0,0,658,4114,33,71,646,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,Chandler Jones,DE,Syracuse,Big East,12,1,21,8.8,32,3,77,266,4.77,22,120,4.38,7.07,35,0,0,0,0,0,0,0,0,0,0,0,0,101,46,147,27,10,1,32,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
